"sample_id","Condition","r1_raw","r2_raw","pe_raw","r1_surv","r2_surv","pe_surv","r1_val","r2_val","pe_val","R1_sum","R2_sum","PE_sum","R1._coverage","R2._coverage","PE._coverage"
"X43_R1_adapt10","HR",11367957,11367957,11367957,3128963,2399856,2401713,3114394,1942501,1797473,102216,31613,79899,0.1,0.01,0.095
"X44_R1_adapt10","HR",20190427,20190427,20190427,11038522,9877959,10047299,11005886,8995338,8619251,969288,289830,889079,0.17,0.027,0.166
"X45_R1_adapt10","LR",21678938,21678938,21678938,19473543,18885209,19252496,19428836,18093663,17169867,13102614,4130860,12289696,0.302,0.051,0.296
"X46_R1_adapt10","HR",21612890,21612890,21612890,5710214,3251489,3223789,5679188,2043353,2298660,111227,15577,48042,0.124,0.012,0.117
"X47_R1_adapt10","HR",39993725,39993725,39993725,1844529,3667545,1566613,1805811,979767,77924,58321,19694,43581,0.07,0.01,0.065
"X48_R1_adapt10","LR",23385664,23385664,23385664,21593865,20887870,21387573,21542934,19897916,19053257,7177638,1252286,6724024,0.307,0.053,0.302
"X49_R1_adapt10","HR",28340413,28340413,28340413,19134591,17699125,18006535,19084075,16439512,15736548,5607654,2494666,5242752,0.189,0.032,0.183
"X50_R1_adapt10","Flut",19806027,19806027,19806027,13554203,12755721,12949147,13516059,11950191,11364691,5059360,2665694,4733706,0.178,0.032,0.171
"X51_R1_adapt10","Flut",32149210,32149210,32149210,1803635,3216991,1549305,1768797,887695,103043,56320,6914,42814,0.13,0.014,0.12
"X52_R1_adapt10","HR",23935924,23935924,23935924,22008643,21339832,21833288,21962917,20347144,19524989,8386837,2558409,7872714,0.288,0.045,0.284
"X53_R1_adapt10","LR",26601614,26601614,26601614,1275817,2479764,1047449,1249920,642308,23123,697,131,416,0.021,0.002,0.019
"X54_R1_adapt10","HR",18160125,18160125,18160125,9322114,8116777,8271373,9275606,7253683,7012480,3421331,1463554,3206064,0.122,0.02,0.114
"X55_R1_adapt10","HR",18892570,18892570,18892570,11411686,10466318,10629185,11379359,9643457,9402042,2158976,1043286,2022852,0.145,0.022,0.14
"X56_R1_adapt10","LR",24481117,24481117,24481117,23300315,22584947,23163466,23250920,21495024,20697592,5284296,1245855,4964003,0.307,0.05,0.303
"X57_R1_adapt10","HR",34698595,34698595,34698595,9912643,6111748,6097042,9861174,4149923,4433890,785800,368765,653104,0.143,0.018,0.136
"X58_R1_adapt10","HR",36390309,36390309,36390309,1769223,3515364,1553667,1736537,904495,105862,49612,9071,36790,0.111,0.009,0.105
"X59_R1_adapt10","LR",1158766,1158766,1158766,935470,895122,912977,932854,843445,751926,118402,69077,111406,0.107,0.009,0.105
"X60_R1_adapt10","HR",26688160,26688160,26688160,24514894,23719067,24260604,24454189,22606179,21560544,14596799,4821876,13679931,0.279,0.05,0.275
"X61_R1_adapt10","HR",35535536,35535536,35535536,2050160,3877448,1803445,2013488,1094367,236174,199886,53918,145793,0.12,0.012,0.115
"X62_R1_adapt10","HR",15877946,15877946,15877946,9381197,8651242,8764669,9353174,8035378,7748831,3253385,1225113,3053412,0.156,0.026,0.154
"X63_R1_adapt10","HR",22387799,22387799,22387799,20817170,20218412,20633159,20765422,19344223,18390840,14979819,5653143,14083417,0.264,0.043,0.261
"X64_R1_adapt10","HR",25148413,25148413,25148413,24303595,23671775,24220179,24251099,22628466,21765821,8870942,2870425,8361807,0.302,0.059,0.298
"X65_R1_adapt10","HR",19152698,19152698,19152698,13705102,12737306,13011747,13667342,11850029,11464900,1896705,577269,1772685,0.179,0.033,0.176
"X66_R1_adapt10","HR",21817830,21817830,21817830,18968922,18246104,18685230,18923630,17276232,16466597,3632894,1317924,3419669,0.248,0.042,0.245
"X68_R1_adapt10","HR",26300759,26300759,26300759,1238988,2588391,1166347,1218725,706517,80074,66282,17149,49717,0.107,0.011,0.099
"X69_R1_adapt10","HR",30912584,30912584,30912584,30061854,29086674,29981787,29997241,27538632,26538879,3733597,799881,3505185,0.325,0.047,0.32
"X70_R1_adapt10","HR",22146458,22146458,22146458,1538367,2570781,1455471,1515786,866154,378943,216412,26227,164713,0.18,0.02,0.168
"X71_R1_adapt10","HR",25913761,25913761,25913761,16259985,14468534,14735709,16217142,13208602,12955919,1874555,601401,1735150,0.114,0.017,0.104
"X72_R1_adapt10","HR",20762725,20762725,20762725,15514213,14509748,14862684,15474413,13507901,13101725,1656241,846255,1544084,0.157,0.018,0.148
"X73_R1_adapt10","LR",24032535,24032535,24032535,1093460,2269974,1013622,1072699,603426,31255,2379,463,1790,0.036,0.006,0.033
"X74_R1_adapt10","HR",17742645,17742645,17742645,14530466,14035154,14340942,14497147,13329095,12870701,3350503,1020711,3161852,0.222,0.034,0.219
"X75_R1_adapt10","HR",14479308,14479308,14479308,9588923,9149293,9308044,9564165,8618225,8166155,3402353,658073,3190651,0.211,0.037,0.207
"X76_R1_adapt10","HR",25852451,25852451,25852451,24837216,24027536,24753302,24789482,22755568,21862214,2410841,522302,2269616,0.262,0.043,0.26
"X77_R1_adapt10","HR",28620733,28620733,28620733,26763037,25862035,26602237,26703809,24513708,23507964,4830789,1750315,4546449,0.288,0.046,0.286
"X78_R1_adapt10","LR",34131703,34131703,34131703,1943929,3638068,1695388,1907698,909122,83993,70407,18884,50882,0.097,0.01,0.091
"X79_R1_adapt10","LR",18251163,18251163,18251163,11164005,10705897,10851595,11132005,10122559,9601635,715566,373105,670986,0.151,0.02,0.148
